algorithm,time,target,r2_train,mse_train,r2_test,mse_test,complexity,equation
RandomForest,3,nii_6584_ew,0.8723195968140687,0.015078739210363843,0.5169266058317834,0.05789160908997172,4000,N/A
RandomForest,2,halpha_ew,0.9326573503464393,0.014997370433398629,0.7384532363978359,0.05903534747503673,3900,N/A
RandomForest,3,oiii_5007_ew,0.8859374283973745,0.031845921757040915,0.5659158708739218,0.11942617001932246,4900,N/A
RandomForest,2,hbeta_ew,0.9252880712682133,0.013885226700778892,0.7137501093222067,0.05375196811382901,4000,N/A
Operon,79,nii_6584_ew,-0.9775217058007968,0.2335404129416916,-0.9616552057084746,0.23508513966852387,49,(1.055054 + (0.087782 * (((((1.138247 * X3) - tanh(((2.195910 * X3) * (0.106757 * X1)))) - ((1.109557 * X2) - tanh(((0.997839 * X3) - exp((1.164524 * X1)))))) + ((0.997839 * X3) - exp((0.591258 * X1)))) - exp((tanh((0.703189 * X1)) - ((-0.965807) * X2))))))
Operon,81,halpha_ew,-0.6876821700892066,0.3758508880906739,-0.7029091413496584,0.38437421856579107,45,(1.350832 + (0.100525 * (((((0.207711 * X3) ** 2) ** 2) + (0.707107 * X3)) - ((exp((0.563803 * X1)) * exp((1.114120 * X2))) - ((tanh(((-0.626679) + ((0.707107 + (0.695820 * X3)) * exp((1.117366 * X2))))) - (1.414214 * X1)) - (1.719017 * X2))))))
Operon,85,oiii_5007_ew,-0.3912640156602567,0.3884366656264593,-0.4003865757536329,0.3852774014692324,45,(0.182751 + (0.182994 * ((((tanh(((((-0.630369) * X1) - (0.925818 * X2)) + tanh(((-0.850385) * X3)))) ** 2) ** 2) + (((tanh((tanh(((-1.219690) * X3)) + ((-0.569322) * X2))) ** 2) ** 2) + (((-1.192546) * X1) - (1.120387 * X2)))) + tanh(tanh(((-0.322922) * X3))))))
Operon,95,hbeta_ew,-0.6084995843812704,0.2989399652286084,-0.6167223144301905,0.30358791085787873,47,(0.641215 + ((-0.195003) * (((exp((tanh((0.597997 * X1)) + (0.723456 * X2))) - tanh(exp((exp((exp((tanh((1.219020 * X1)) + (0.707107 * X2))) - ((-1.256156) * X3))) * (0.318310 * X2))))) + ((0.693147 * X2) - ((-0.457115) * X1))) - tanh((0.569752 * X3)))))
PySR,1041,nii_6584_ew,0.5391686259884447,0.05442304328061164,0.5457915697327499,0.05443242622723471,30,(0.0252261*x1 - 0.070354*x2 + 0.0252261*exp(x0 + x1 + 0.024677*(-x0 + x1)*exp(x0 + x1)) + 0.0252261*tanh(x0) - 0.973874)**4
PySR,1002,halpha_ew,0.7446626297937664,0.056864247934596254,0.7487247775498407,0.05671689400743768,30,-0.143521*x0 - 0.165176*x1 - 0.143521*exp(x0*tanh(tanh(exp(x1 + x2))**2)) + 0.143521*tanh(x2) - tanh(1.39111*x1 - 2.367563) + 0.431496
PySR,703,oiii_5007_ew,0.5894611717399256,0.11462118747019956,0.5916504523396697,0.11234601597708181,24,0.791566 - tanh(0.283471*x0 + 0.322159*x1 + 0.283471*tanh(x2*tanh(x0*x0 - 1.377186*x1)) + 0.659787)
PySR,873,hbeta_ew,0.7180853869276609,0.052393886481294505,0.7262315062198665,0.05140821298969439,30,-tanh(0.029091*x1/tanh(exp(tanh(x0)))) + tanh((0.072513*(tanh(x1) + 1.712174)*tanh(x2) + 0.330846)*(-x0 - x1 + 2.111059))
