Complexity,Loss,Equation
1,0.0017990306,"0.21930139"
3,0.0017342078,"2.0455556 / x4"
4,0.0017272676,"square(x1 * -0.04805911)"
5,0.0016831239,"x1 * (0.21368526 / x4)"
6,0.0016662674,"tanh((x1 * 0.21368526) / x4)"
7,0.0016233339,"((x1 + x2) * 0.22272061) / x4"
8,0.0016126792,"(tanh(x2) + x1) * (0.22087424 / x4)"
9,0.001610206,"tanh(((tanh(x2) + x1) * 0.22463843) / x4)"
10,0.0015518151,"(square(tanh(x5 - exp(x2))) + 1.9439508) / x4"
11,0.0015458548,"tanh((square(tanh(exp(x2) - x5)) + 1.9792403) / x4)"
12,0.0015200834,"((square(tanh(exp(x2) - x5)) + 1.1829085) / x4) - -0.08183723"
16,0.0015190714,"tanh(0.18298148 / tanh(exp((((x4 - (x1 + -1.7899374)) - x5) * x2) / -2.7150314)))"
17,0.0014970608,"(x1 / tanh(exp((((x1 * -0.6417776) + (x4 / 1.3487222)) * -0.50198) * x2))) * 0.018598491"
18,0.001483339,"x1 * (0.01892778 / tanh(exp(tanh(x2 * -1.043059) * ((x1 * -0.38475683) + (x4 / 2.2200909)))))"
19,0.0014833332,"tanh(0.018931208 / tanh(exp(((x1 * -0.38475677) + (x4 / 2.2200909)) * tanh(x2 * -1.043059)))) * x1"
20,0.0014722452,"x1 * (0.019959424 / tanh(exp(tanh((((x4 - (x1 + -1.5700941)) - x5) * x2) * x2)) + 0.25498307))"
21,0.0014493978,"x1 * (0.020998582 / tanh(tanh(x5) + exp((x2 * -1.1331667) * tanh((x4 - (x1 + -1.6356397)) - x5))))"
22,0.001427484,"(x1 * 0.020911172) / tanh(tanh(tanh(x5)) + exp(tanh(((x4 - (x1 + -1.5870442)) - x5) * -1.1543517) * x2))"
23,0.0014070675,"(x1 * 0.020887677) / tanh(exp(tanh((x3 + x2) * x2) * ((x4 - (x1 + -1.5820838)) - x5)) + tanh(x5))"
24,0.0013856369,"(x1 * 0.020887677) / tanh(exp(tanh((x3 + x2) * x2) * ((x4 - (x1 + -1.5820838)) - x5)) + tanh(tanh(x5)))"
25,0.0013683485,"((x1 * 0.032272767) / tanh(exp(((x4 - (x1 + -1.8836612)) - x5) * tanh(x2 * (x2 + x3))) + tanh(x5))) + -0.11270296"
26,0.0013440256,"x1 * (0.020363133 / tanh(exp(tanh((x2 * (x2 + x3)) + -0.20954756) * ((x4 - (x1 + -1.4745567)) - x5)) + tanh(tanh(x5))))"
27,0.0013247347,"(0.02053773 / tanh(tanh(tanh(x5)) + exp(tanh((x2 * (x3 + -0.94515187)) + -0.28781727) * ((x4 - (x1 + -1.3441256)) - square(x5))))) * x1"
28,0.0013153504,"x1 * (0.020314416 / tanh(exp(tanh((x2 * (x3 + x2)) + -0.18958782) * ((x4 - (x1 + -1.3409373)) - square(x5))) + tanh(tanh(tanh(x5)))))"
29,0.0013021015,"((x1 / tanh(exp(((x4 - (x1 + -1.4472764)) - square(x5)) * (tanh((x2 + x3) * x2) + -0.12704605)) + tanh(tanh(x5)))) * 0.028096456) + -0.07942174"
30,0.0012934688,"((x1 / tanh(exp(((x4 - (x1 + -1.4487786)) - square(x5)) * (tanh(x2 * (x3 + x2)) + -0.14008144)) + tanh(tanh(tanh(x5))))) * 0.027349388) + -0.07374885"
